"crop_name","year","country_iso2","country_name","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","cu_amount_countries","gp_index_crops","gp_index_crops_lives_products","gp_index_custom","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Sisal","2011","","World",432137,408518,NA,NA,NA,NA,NA,NA,NA,NA,249.011861,1,8.12584664607806e-05,NA,0.4,NA,0.000284874661675882,0.400366133128137
"Sisal","2012","","World",398660,228795,NA,NA,NA,NA,NA,NA,NA,NA,135.853819,1,6.71730771973797e-05,NA,0.4,NA,0.000155303329496946,0.400222476406694
"Sisal","2013","","World",300764,266947,NA,NA,NA,NA,NA,NA,NA,NA,134.062858,1,5.56262459456726e-05,NA,0.4,NA,0.000153252594095829,0.400208878840042
"Snake plant","2010","","World",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,1,6.65168234222474e-05,NA,0.4,NA,9.58383132212717e-05,0.400162355136644
"Snake plant","2011","","World",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,1,6.77436365334893e-05,NA,0.4,NA,0.000116885735752278,0.400184629372286
"Snake plant","2012","","World",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,1,6.87565155230403e-05,NA,0.4,NA,0.000106813182358958,0.400175569697882
"Snake plant","2013","","World",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,1,6.86031627357347e-05,NA,0.4,NA,0.000102091498872838,0.400170694661609
"Sorghum","2010","","World",42175294,60123538,6782806,1531648,6318264,1162045,10,30,0.9,0.31,14156.54843,1,0.00900043143485703,0.00142764930957492,0.4,0.0032216975074973,0.0162096645283351,0.429859442780264
"Sorghum","2011","","World",42173015,56651554,6805500,2051660,6274626,1717322,10.09,31,0.91,0.31,15495.894654,1,0.00881754189740112,0.00167030966916401,0.4,0.00323689610247164,0.0177432795628946,0.431468027231931
"Sorghum","2012","","World",39261445,57183553,6100295,1759491,6516706,1597220,9.48,29,0.85,0.29,15952.041561,1,0.00844242948590565,0.00152218624953728,0.4,0.00303487350221107,0.0182655894346869,0.431265078672341
"Sorghum","2013","","World",43891889,61752570,6927012,2164561,6403897,1603500,NA,NA,NA,NA,16200.44767,1,0.00932374514690493,0.00163779848748907,0.4,NA,0.0185500262267668,0.429511569861161
"Sorrel","2010","","World",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,1,0.0162048267894583,0.00173757695124737,0.4,0.0508233859727502,0.0889299152702887,0.557695704983745
"Sorrel","2011","","World",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,1,0.0162573077966097,0.00177788477971017,0.4,0.0513643121607486,0.102388621952953,0.571788126690022
"Sorrel","2012","","World",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,1,0.0169321687834934,0.00163089025537678,0.4,0.053019801980198,0.105784165156163,0.577367026175232
"Sorrel","2013","","World",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,1,0.0173510891901523,0.00178277574923765,0.4,NA,0.109261960648607,0.528395825587997
"Soybeans","2010","","World",102767841,264942943,168588347,78692698,173470327,75569346,13.57,97,1.3,9.83,102063.598995,1,0.0281594808163476,0.0556263331993303,0.4,0.0509532879794329,0.116867412296966,0.651606514292077
"Soybeans","2011","","World",103757324,261436988,165572474,91897264,166385740,87245673,13.84,99,1.31,10.1,114336.985448,1,0.0281121077821103,0.0602519365421418,0.4,0.0523355174277222,0.130921022671933,0.671620584423907
"Soybeans","2012","","World",105350564,241185392,169380837,101450488,167272963,93683953,13.8,97,1.36,9.93,120674.341134,1,0.0272677525880771,0.0635496793065017,0.4,0.0514871783382067,0.138177595905383,0.680482206138168
"Soybeans","2013","","World",111018715,277537300,175301842,107519554,179141909,100414965,NA,NA,NA,NA,124809.026138,1,0.0299640328968197,0.0672622331143042,0.4,NA,0.142912006598955,0.640138272610079
"Spinach","2010","","World",844718,20335174,112015,168862,107602,149217,283.67,71,3.79,0.59,7717.435788,1,0.00118621931751998,7.96737719401208e-05,0.4,0.0508233859727502,0.0088365747476356,0.460925853809846
"Spinach","2011","","World",863290,21184463,130828,190044,111233,167991,286.58,71,3.82,0.6,11785.567473,1,0.00123345028767237,9.03426180287781e-05,0.4,0.0513643121607486,0.0134947787302106,0.46618288379666
