"crop_name","year","country_iso2","country_name","c_area_harvested","c_feed","c_production","c_yield","cb_domestic_supply_quantity","cb_export_quantity","cb_feed","cb_food_supply_quantity","cb_import_quantity","cb_losses","cb_other_uses","cb_processing","cb_production","cb_seed","cb_stock_variation","clp_export_quantity","clp_export_value","clp_import_quantity","clp_import_value","fs_fat_supply_quantity","fs_food_supply_kcal","fs_food_supply_quantity_g","fs_food_supply_quantity_kg","fs_food_supply_quantity_t","fs_protein_supply_quantity","vap_gross_production_value_2004_2006_i","vap_gross_production_value_2014_2006_us","vap_gross_production_value_us","vap_net_production_value_2004_2006_i","cu_amount_countries"
"Coconuts","2010","","World",11756224,NA,61215644,51125,66588525,6517055,2253877,23385190,6783524,2802780,9791124,28224147,64513958,175103,1808097,4304431,3072054,4564145,3293580,2.05,21,9.46,3.46,23385190.65,0.12,6645838.029892,5641.247257,10161.498983,6620642.577397,1
"Coconuts","2011","","World",11911286,NA,59530454,49066,59801708,5831638,1878657,22504848,5944514,2741160,9134555,23489767,62162214,152446,-2473382,3591651,4466069,3794585,5008023,1.79,18,9,3.29,22504848,0.12,6462307.830503,5542.557882,12192.144496,6440379.396534,1
"Coconuts","2012","","World",12028147,NA,63008546,51443,65618701,6091103,1737377,23480119,5901128,2966383,12931537,24416037,65757955,158624,50721,4024639,3720473,3957761,3967724,1.88,19,9.3,3.39,23480118.4,0.12,6841806.239417,5821.743775,11303.471965,6818965.98792,1
"Coconuts","2013","","World",12024283,NA,63275510,51620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4340287,3199051,4130204,3312559,NA,NA,NA,NA,NA,NA,6863199.702121,5871.526233,11206.388026,6841110.469931,1
"Coffee","2010","","World",10532027,NA,8478007,8050,7768511,9665275,NA,7703913,9167776,122497,33711,1,8320712,NA,-54701,15593294,53525164,14842477,53151020,NA,1,3.12,1.14,7703913.35,0.17,9108431.418104,6773.606383,16200.651777,9108431.418104,1
"Coffee","2011","","World",9935004,NA,8387743,8443,7981701,10116881,NA,7858193,9584873,125606,37449,-2,8291912,NA,221796,16053975,78421242,15353569,79504270,NA,1,3.14,1.15,7858193.48,0.17,9011455.192255,6563.87229,22111.247211,9011455.192255,1
"Coffee","2012","","World",10364007,NA,8823713,8514,8189357,10712883,NA,8115440,9953734,120015,37932,-3,9088359,NA,-139852,16975974,73005842,15794582,73483272,NA,1,3.21,1.17,8115439.86,0.18,9479844.294503,6857.907085,19605.29525,9479844.294503,1
"Coffee","2013","","World",10584470,NA,8893329,8402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16702975,63741831,15985985,64337072,NA,NA,NA,NA,NA,NA,9554636.556572,6911.24531,15980.021184,9554636.556572,1
"Common bean","2010","","World",32486941,NA,46510911,231884,23263358,3687949,2925196,17848377,3058155,1257641,395,NA,24159268,1250854,-266116,4178460,3905076,3595456,3694939,0.11,24,7.22,2.64,17848377.17,1.56,23835651.46561,19749.882483,33788.661932,21302312.535882,1
"Common bean","2011","","World",32210303,NA,46191613,229717,22550667,4374204,2434938,17626824,3334745,1253116,64917,NA,23107800,1196330,482326,4856496,4842092,3851850,4108479,0.1,24,7.05,2.57,17626823.54,1.52,23504602.438845,19222.514691,41868.44617,21279052.060495,1
"Common bean","2012","","World",30844784,NA,47256489,237545,22184938,4236638,2599136,17122805,3464305,1244916,44158,NA,23359698,1186106,-402427,4787454,4953739,4011952,4304353,0.1,23,6.78,2.47,17122804.78,1.46,23964544.99215,19624.753995,38113.737625,21571142.155966,1
"Common bean","2013","","World",31027121,NA,47828399,241313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4556765,4657864,4071808,4484651,NA,NA,NA,NA,NA,NA,24162824.909485,19590.847169,41088.628853,21730034.483972,1
"Coriander","2010","","World",943046,NA,827412,8774,4634844,1268658,NA,4441274,1219247,79854,140356,NA,4709073,NA,-24818,264610,510640,287213,493850,0.16,6,1.8,0.66,4441274,0.19,4573286.673893,713.277734,1717.742721,4573259.037813,1
"Coriander","2011","","World",1082838,NA,952224,8794,5454178,1408666,NA,5218015,1393715,88886,167560,NA,5493342,NA,-24213,295131,598896,307764,607009,0.19,7,2.09,0.76,5218015,0.23,5263145.062713,802.040822,2020.413653,5263116.873911,1
"Coriander","2012","","World",1040955,NA,923817,8875,5398395,1584370,NA,5145518,1510444,92186,180290,NA,5490116,NA,-17795,317335,571680,333008,607900,0.19,7,2.04,0.74,5145518,0.22,5106135.213192,758.05124,1758.201376,5106113.546506,1
"Coriander","2013","","World",999465,NA,906033,9065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394543,742271,406832,764959,NA,NA,NA,NA,NA,NA,5007840.879241,742.033978,1714.573771,5007818.081919,1
"Cotton","2010","","World",31801055,NA,136128650,21767,85900070,9085575,21337225,3565324,9190369,1114857,29470159,29079131,85949794,1333568,-154518,10102527,15792134,10021107,16413487,1.42,13,1.44,0.53,3565323.71,0,48012974.416208,76505.903193,110578.541843,44341233.222646,1
"Cotton","2011","","World",34497013,NA,154703951,23049,94398706,10127311,24746747,3796549,9645667,1231565,32304522,30982565,95629922,1337092,-749572,10882873,22822089,10356474,25230891,1.5,13,1.52,0.55,3796549.08,0,53784241.172328,88949.18268,195126.198329,49362137.188635,1
"Cotton","2012","","World",34691800,NA,155383718,22854,97159290,12080443,24474972,4079676,11842925,1209118,33340000,32819851,97559036,1242333,-162228,13051861,22046074,12761012,23940252,1.59,14,1.62,0.59,4079675.79,0,54719211.299481,90456.13937,157227.050451,50598464.594926,1
"Cotton","2013","","World",32219639,NA,143302326,22674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12927334,20798476,12259559,21041649,NA,NA,NA,NA,NA,NA,50447991.724263,82983.454336,134605.096788,46538763.697442,1
"Cowpeas","2010","","World",11602534,NA,6835457,5891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2295223.536833,2818.188459,2082.586232,1691847.66833,1
"Cowpeas","2011","","World",10524289,NA,4745890,4509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1593584.565979,1612.123597,1504.800004,1188812.234496,1
"Cowpeas","2012","","World",11386779,NA,8357941,7340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2806446.119354,3925.988323,2853.208436,2202368.611528,1
"Cowpeas","2013","","World",12255391,NA,8281648,6758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2780828.421854,3665.854379,2824.665697,2193075.027159,1
"Cranberries","2010","","World",30762,NA,466019,151492,181139085,26041481,161854,163015130,26374212,16397208,154530,1918455,180619594,NA,186760,106747,446914,82185,310043,0.33,28,65.96,24.08,163015129.55,0.34,386507.95504,319.487727,375.159074,386507.95504,1
"Cranberries","2011","","World",30726,NA,534928,174096,190261074,27496754,83648,170163646,28136690,16996917,159525,3378859,189917005,NA,-295867,125503,520392,96994,412632,0.34,29,68.08,24.85,170163646.03,0.35,443659.965473,361.378621,443.990389,443659.965473,1
"Cranberries","2012","","World",37208,NA,594539,159788,197736228,28198651,44344,177688423,30229947,17335658,133616,3146881,195310537,NA,394395,144170,555990,122117,491523,0.35,30,70.36,25.68,177688423.09,0.36,493100.601511,408.097924,834.787482,493100.601511,1
