crop,country,year,area_harvested_global
Roselle,World,2012,0.981673726
Roselle,World,2013,0.981635447
"Rubber, natural",World,2010,0.986526523
"Rubber, natural",World,2011,0.98565575
"Rubber, natural",World,2012,0.98636081
"Rubber, natural",World,2013,0.986586814
Runner bean,World,2010,0.933902781
Runner bean,World,2011,0.951750079
Runner bean,World,2012,0.928645638
Runner bean,World,2013,0.924863441
Rye,World,2010,0.979496652
Rye,World,2011,0.982080327
Rye,World,2012,0.98007442
Rye,World,2013,0.982730561
Safflower,World,2010,0.684380629
Safflower,World,2011,0.62509881
Safflower,World,2012,0.674377742
Safflower,World,2013,0.552574158
Saffron,World,2010,0.9138516
Saffron,World,2011,0.918581189
Saffron,World,2012,0.904995583
Saffron,World,2013,0.903234826
Sago palm,World,2010,0.910434232
Sago palm,World,2011,0.911291648
Sago palm,World,2012,0.911049861
Sago palm,World,2013,0.90860496
Salsify,World,2010,0.986061808
Salsify,World,2011,0.987375431
Salsify,World,2012,0.987730285
Salsify,World,2013,0.988260063
Sapodilla,World,2010,0.987170785
Sapodilla,World,2011,0.988222609
Sapodilla,World,2012,0.987650079
Sapodilla,World,2013,0.987641885
Savory,World,2010,0.976770273
Savory,World,2011,0.977378172
Savory,World,2012,0.978455536
Savory,World,2013,0.979111338
Service tree,World,2010,0.982750983
Service tree,World,2011,0.981528276
Service tree,World,2012,0.982452202
Service tree,World,2013,0.982015821
Sesame,World,2010,0.504101501
Sesame,World,2011,0.514925827
Sesame,World,2012,0.547034995
Sesame,World,2013,0.486337305
Shala tree,World,2010,0.644534196
Shala tree,World,2011,0.69370385
Shala tree,World,2012,0.70561864
Shala tree,World,2013,0.730083611
Sisal,World,2010,0.966661866
Sisal,World,2011,0.979435669
Sisal,World,2012,0.972443226
Sisal,World,2013,0.975424933
Sorghum,World,2010,0.391608388
Sorghum,World,2011,0.384035872
Sorghum,World,2012,0.398849907
Sorghum,World,2013,0.381328246
Sorrel,World,2010,0.963979628
Sorrel,World,2011,0.964412915
Sorrel,World,2012,0.965804053
Sorrel,World,2013,0.967028701
Soursop,World,2010,0.987170785
Soursop,World,2011,0.988222609
Soursop,World,2012,0.987650079
Soursop,World,2013,0.987641885
Soybeans,World,2010,0.845587156
Soybeans,World,2011,0.857348186
Soybeans,World,2012,0.871280793
Soybeans,World,2013,0.883025929
Spinach,World,2010,0.974284225
Spinach,World,2011,0.977499814
Spinach,World,2012,0.979497425
Spinach,World,2013,0.977822996
Strawberries,World,2010,0.938592831
Strawberries,World,2011,0.941815389
Strawberries,World,2012,0.942592734
Strawberries,World,2013,0.945403866
Strawberry tree,World,2010,0.975388765
Strawberry tree,World,2011,0.975240777
Strawberry tree,World,2012,0.975008885
Strawberry tree,World,2013,0.977788982
Sugar apple,World,2010,0.987170785
Sugar apple,World,2011,0.988222609
Sugar apple,World,2012,0.987650079
Sugar apple,World,2013,0.987641885
Sugar beets,World,2010,0.352748691
Sugar beets,World,2011,0.365383599
Sugar beets,World,2012,0.363519576
Sugar beets,World,2013,0.351127664
Sugarcane,World,2010,0.745486333
Sugarcane,World,2011,0.722515539
Sugarcane,World,2012,0.722224169
Sugarcane,World,2013,0.728224978
Sunflowers,World,2010,0.974555558
Sunflowers,World,2011,0.983271146
Sunflowers,World,2012,0.97709412
Sunflowers,World,2013,0.982822684
Sunn hemp,World,2010,0.56488839
Sunn hemp,World,2011,0.551561044
Sunn hemp,World,2012,0.548160802
Sunn hemp,World,2013,0.511550588
Sweetpotatoes,World,2010,0.994178809
Sweetpotatoes,World,2011,0.993892876
Sweetpotatoes,World,2012,0.994023716
Sweetpotatoes,World,2013,0.994316566
Sword bean,World,2010,0.980267658
Sword bean,World,2011,0.98120651
Sword bean,World,2012,0.981833908
Sword bean,World,2013,0.982982397
Tallowtree,World,2010,0
Tallowtree,World,2011,0
Tallowtree,World,2012,0
Tallowtree,World,2013,0
Tamarind,World,2010,0.885297353
Tamarind,World,2011,0.887635685
Tamarind,World,2012,0.886996095
Tamarind,World,2013,0.88840318
Taro,World,2010,0.919412765
Taro,World,2011,0.911179988
Taro,World,2012,0.930451093
Taro,World,2013,0.925472316
Tarragon,World,2010,0.190771237
Tarragon,World,2011,0.186056298
Tarragon,World,2012,0.193804407
Tarragon,World,2013,0.196056246
Tea,World,2010,0.129169277
Tea,World,2011,0.118263734
Tea,World,2012,0.116705925
Tea,World,2013,0.11917141
Teff,World,2010,0.925798556
Teff,World,2011,0.908954758
Teff,World,2012,0.935068205
Teff,World,2013,0.887279748
Tepary bean,World,2010,0.933902781
Tepary bean,World,2011,0.951750079
Tepary bean,World,2012,0.928645638
Tepary bean,World,2013,0.924863441
Thyme,World,2010,0.958390056
Thyme,World,2011,0.960514608
Thyme,World,2012,0.954155961
Thyme,World,2013,0.95308447
Tobacco,World,2010,0.989259601
Tobacco,World,2011,0.991700141
Tobacco,World,2012,0.991087879
Tobacco,World,2013,0.991724501
Tomatoes,World,2010,0.974187834
Tomatoes,World,2011,0.976644451
Tomatoes,World,2012,0.97403965
Tomatoes,World,2013,0.97714921
Triticale,World,2010,0.957301198
Triticale,World,2011,0.939017157
Triticale,World,2012,0.93408427
Triticale,World,2013,0.931075914
Tung nuts,World,2010,0.055223699
Tung nuts,World,2011,0.05474125
Tung nuts,World,2012,0.058256613
Tung nuts,World,2013,0.058547351
Turmeric,World,2010,0.257926319
Turmeric,World,2011,0.266929678
Turmeric,World,2012,0.286731505
Turmeric,World,2013,0.292894816
Turnips,World,2010,0.809334194
Turnips,World,2011,0.811961475
Turnips,World,2012,0.813316187
Turnips,World,2013,0.79855654
Ulluco,World,2010,0.94386348
Ulluco,World,2011,0.94546326
Ulluco,World,2012,0.954763695
Ulluco,World,2013,0.944439752
Vanilla,World,2010,0.988288176
Vanilla,World,2011,0.988688301
Vanilla,World,2012,0.988847152
Vanilla,World,2013,0.9899
Velvet bean,World,2010,0.218836213
Velvet bean,World,2011,0.24653489
Velvet bean,World,2012,0.273926451
Velvet bean,World,2013,0.309585176
Velvet leaf,World,2010,0.944595915
Velvet leaf,World,2011,0.944299859
Velvet leaf,World,2012,0.946729473
Velvet leaf,World,2013,0.951059659
Vetch,World,2010,0.448173938
Vetch,World,2011,0.530356993
Vetch,World,2012,0.502345022
Vetch,World,2013,0.497222713
Walnuts,World,2010,0.758086288
Walnuts,World,2011,0.78451308
Walnuts,World,2012,0.799038161
Walnuts,World,2013,0.790132435
Watercress,World,2010,0.95256878
Watercress,World,2011,0.953526858
Watercress,World,2012,0.954600606
Watercress,World,2013,0.956078583
Watermelons,World,2010,0.991196949
Watermelons,World,2011,0.993889514
Watermelons,World,2012,0.993161898
Watermelons,World,2013,0.992897166
Wheat,World,2010,0.703706612
Wheat,World,2011,0.700169521
Wheat,World,2012,0.710984442
Wheat,World,2013,0.703106849
Winged bean,World,2010,0.935988721
Winged bean,World,2011,0.938596561
Winged bean,World,2012,0.947235677
Winged bean,World,2013,0.948902375
Yams,World,2010,0.093131071
Yams,World,2011,0.069789844
Yams,World,2012,0.074396786
Yams,World,2013,0.073441789
"Yautia, cocoyam",World,2010,0.103788783
"Yautia, cocoyam",World,2011,0.081405891
"Yautia, cocoyam",World,2012,0.05560069
"Yautia, cocoyam",World,2013,0.03228509
Year bean,World,2010,0.933902781
Year bean,World,2011,0.951750079
Year bean,World,2012,0.928645638
Year bean,World,2013,0.924863441
Zucchini,World,2010,0.985382451
Zucchini,World,2011,0.986255826
Zucchini,World,2012,0.985331193
Zucchini,World,2013,0.985986596
