crop,country,year,import_quantity_global
Kiwi fruit,World,2010,0.837719172
Kiwi fruit,World,2011,0.81477856
Kiwi fruit,World,2012,0.814285612
Kiwi fruit,World,2013,0.832785676
Kodo millet,World,2010,0.731353366
Kodo millet,World,2011,0.84375635
Kodo millet,World,2012,0.821471113
Kodo millet,World,2013,0.865400991
Kola nuts,World,2010,0.071712179
Kola nuts,World,2011,0.064520914
Kola nuts,World,2012,0.207256894
Kola nuts,World,2013,0.214902507
Kumquat,World,2010,0.815876211
Kumquat,World,2011,0.82057052
Kumquat,World,2012,0.811478512
Kumquat,World,2013,0.843929397
Leeks and other alliaceous vegetables,World,2010,0.78419833
Leeks and other alliaceous vegetables,World,2011,0.766568485
Leeks and other alliaceous vegetables,World,2012,0.76950078
Leeks and other alliaceous vegetables,World,2013,0.749705187
Lemons and limes,World,2010,0.955638912
Lemons and limes,World,2011,0.955077546
Lemons and limes,World,2012,0.954381767
Lemons and limes,World,2013,0.951706118
Lentils,World,2010,0.400232235
Lentils,World,2011,0.397038747
Lentils,World,2012,0.37529595
Lentils,World,2013,0.319188519
Lettuce,World,2010,0.330655756
Lettuce,World,2011,0.346018853
Lettuce,World,2012,0.351809001
Lettuce,World,2013,0.346424517
Lima bean,World,2010,0.935813257
Lima bean,World,2011,0.930936475
Lima bean,World,2012,0.912545671
Lima bean,World,2013,0.94040619
Litchi,World,2010,0.484480166
Litchi,World,2011,0.44047422
Litchi,World,2012,0.36896257
Litchi,World,2013,0.365786149
Little millet,World,2010,0.681029066
Little millet,World,2011,0.754117468
Little millet,World,2012,0.750675042
Little millet,World,2013,0.765467041
Longan,World,2010,0.999812701
Longan,World,2011,0.999847798
Longan,World,2012,0.999851267
Longan,World,2013,0.999806219
Loquat,World,2010,0.484480166
Loquat,World,2011,0.44047422
Loquat,World,2012,0.36896257
Loquat,World,2013,0.365786149
Maca,World,2010,0.994767065
Maca,World,2011,0.999902925
Maca,World,2012,0.999571415
Maca,World,2013,0.99979258
Macadamia nut,World,2010,0.993941755
Macadamia nut,World,2011,0.99311571
Macadamia nut,World,2012,0.995845593
Macadamia nut,World,2013,0.996769494
Mahuwa,World,2010,0.958757984
Mahuwa,World,2011,0.917848781
Mahuwa,World,2012,0.899264133
Mahuwa,World,2013,0.90987594
Maize,World,2010,0.868877799
Maize,World,2011,0.856471448
