crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Dill,World,2010,0.052173913,0.008695652,NA,0.02173913
Dill,World,2011,0.052173913,0.017391304,NA,0.02173913
Dill,World,2012,0.060869565,0.013043478,NA,0.030434783
Dill,World,2013,0.069565217,0.017391304,NA,0.013043478
Durian,World,2010,0.008695652,NA,0.052173913,NA
Durian,World,2011,0.008695652,0.004347826,0.060869565,NA
Durian,World,2012,0.008695652,0.004347826,0.065217391,NA
Durian,World,2013,0.008695652,NA,0.07826087,NA
Eggplant,World,2010,NA,NA,0.139130435,NA
Eggplant,World,2011,NA,NA,0.147826087,NA
Eggplant,World,2012,NA,NA,0.147826087,0.004347826
Eggplant,World,2013,NA,NA,0.152173913,0.004347826
Elderberry,World,2010,0.026086957,0.008695652,0.334782609,NA
Elderberry,World,2011,0.017391304,0.008695652,0.330434783,NA
Elderberry,World,2012,0.02173913,0.008695652,0.317391304,0.004347826
Elderberry,World,2013,0.026086957,0.017391304,0.365217391,NA
Esparto,World,2010,NA,NA,NA,NA
Esparto,World,2011,NA,NA,NA,NA
Esparto,World,2012,NA,NA,NA,NA
Esparto,World,2013,NA,NA,NA,NA
Ethiopian rape,World,2010,NA,NA,0.339130435,0.008695652
Ethiopian rape,World,2011,NA,NA,0.334782609,0.004347826
Ethiopian rape,World,2012,NA,NA,0.326086957,0.008695652
Ethiopian rape,World,2013,NA,NA,0.352173913,0.013043478
Faba beans,World,2010,0.004347826,0.07826087,0.030434783,0.247826087
Faba beans,World,2011,0.004347826,0.07826087,0.030434783,0.234782609
Faba beans,World,2012,0.004347826,0.082608696,0.039130435,0.230434783
Faba beans,World,2013,0.02173913,0.086956522,0.043478261,0.256521739
Feijoa,World,2010,0.004347826,NA,0.047826087,NA
Feijoa,World,2011,0.008695652,0.004347826,0.060869565,NA
Feijoa,World,2012,0.008695652,0.004347826,0.065217391,NA
Feijoa,World,2013,0.008695652,NA,0.069565217,NA
Fennel,World,2010,0.013043478,NA,NA,NA
Fennel,World,2011,0.008695652,NA,NA,NA
Fennel,World,2012,0.013043478,NA,NA,NA
Fennel,World,2013,0.004347826,NA,NA,NA
Fenugreek,World,2010,0.047826087,0.008695652,NA,0.02173913
Fenugreek,World,2011,0.052173913,0.017391304,NA,0.017391304
Fenugreek,World,2012,0.060869565,0.013043478,NA,0.030434783
Fenugreek,World,2013,0.069565217,0.017391304,NA,0.013043478
Fig leaf gourd,World,2010,NA,NA,0.004347826,NA
Fig leaf gourd,World,2011,NA,NA,NA,NA
Fig leaf gourd,World,2012,NA,NA,0.004347826,NA
Fig leaf gourd,World,2013,NA,NA,0.008695652,NA
Figs,World,2010,NA,NA,NA,NA
Figs,World,2011,NA,NA,NA,NA
Figs,World,2012,NA,NA,NA,NA
Figs,World,2013,NA,NA,NA,NA
Finger millet,World,2010,0.126086957,0.152173913,0.147826087,0.139130435
Finger millet,World,2011,0.126086957,0.152173913,0.156521739,0.139130435
Finger millet,World,2012,0.117391304,0.147826087,0.152173913,0.147826087
Finger millet,World,2013,0.113043478,0.147826087,0.143478261,0.143478261
Fique,World,2010,NA,NA,NA,NA
Fique,World,2011,NA,NA,NA,NA
Fique,World,2012,NA,NA,NA,NA
Fique,World,2013,NA,NA,NA,NA
Flax,World,2010,0.004347826,NA,NA,0.004347826
Flax,World,2011,0.004347826,NA,NA,0.004347826
Flax,World,2012,0.004347826,NA,NA,0.004347826
Flax,World,2013,0.004347826,NA,NA,0.004347826
Fonio,World,2010,NA,NA,NA,NA
Fonio,World,2011,NA,NA,NA,NA
Fonio,World,2012,NA,NA,NA,NA
Fonio,World,2013,NA,NA,NA,NA
Foxtail millet,World,2010,0.117391304,0.143478261,0.147826087,0.139130435
Foxtail millet,World,2011,0.117391304,0.152173913,0.152173913,0.139130435
Foxtail millet,World,2012,0.117391304,0.143478261,0.147826087,0.147826087
Foxtail millet,World,2013,0.108695652,0.147826087,0.139130435,0.139130435
Garlic,World,2010,NA,NA,0.013043478,NA
Garlic,World,2011,NA,NA,0.008695652,NA
Garlic,World,2012,NA,NA,0.008695652,NA
Garlic,World,2013,NA,NA,0.008695652,NA
Giant cabuya,World,2010,NA,NA,NA,NA
Giant cabuya,World,2011,NA,NA,NA,NA
Giant cabuya,World,2012,NA,NA,NA,NA
Giant cabuya,World,2013,NA,NA,NA,NA
Ginger,World,2010,0.069565217,0.008695652,NA,0.02173913
Ginger,World,2011,0.060869565,0.017391304,NA,0.026086957
Ginger,World,2012,0.065217391,0.026086957,NA,0.030434783
Ginger,World,2013,0.07826087,0.02173913,NA,0.017391304
Gooseberries,World,2010,NA,NA,NA,NA
Gooseberries,World,2011,NA,NA,NA,NA
Gooseberries,World,2012,NA,NA,NA,NA
Gooseberries,World,2013,NA,NA,NA,NA
Grapefruits,World,2010,0.013043478,0.039130435,0.291304348,0.02173913
Grapefruits,World,2011,0.013043478,0.034782609,0.295652174,0.013043478
Grapefruits,World,2012,0.013043478,0.039130435,0.313043478,0.02173913
Grapefruits,World,2013,0.013043478,0.052173913,0.330434783,0.02173913
Grapes,World,2010,0.07826087,0.391304348,0.552173913,0.2
Grapes,World,2011,0.086956522,0.373913043,0.547826087,0.182608696
Grapes,World,2012,0.086956522,0.373913043,0.552173913,0.191304348
Grapes,World,2013,0.095652174,0.408695652,0.556521739,0.2
Grasspea,World,2010,0.004347826,0.060869565,0.017391304,0.186956522
Grasspea,World,2011,0.004347826,0.060869565,0.017391304,0.204347826
Grasspea,World,2012,0.004347826,0.065217391,0.026086957,0.204347826
Grasspea,World,2013,0.008695652,0.07826087,0.017391304,0.230434783
Groundnuts,World,2010,0.717391304,0.586956522,0.560869565,0.62173913
Groundnuts,World,2011,0.72173913,0.586956522,0.582608696,0.62173913
Groundnuts,World,2012,0.695652174,0.6,0.573913043,0.617391304
Groundnuts,World,2013,0.708695652,0.6,0.57826087,0.639130435
Guavas,World,2010,0.039130435,0.013043478,0.42173913,0.004347826
Guavas,World,2011,0.047826087,0.017391304,0.430434783,0.004347826
Guavas,World,2012,0.034782609,0.017391304,0.413043478,0.008695652
Guavas,World,2013,0.047826087,0.026086957,0.452173913,0.008695652
Guayule,World,2010,NA,NA,NA,NA
Guayule,World,2011,NA,NA,NA,NA
Guayule,World,2012,NA,NA,NA,NA
Guayule,World,2013,NA,NA,NA,NA
Gutta-percha,World,2010,NA,NA,NA,NA
Gutta-percha,World,2011,NA,NA,NA,NA
Gutta-percha,World,2012,NA,NA,NA,NA
