crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Mombin,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Mulberry,World,2019,0.206601149,0.283485067,0.282786343,0.27823579
Mung bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Myrtle,World,2019,0.206601149,0.283485067,0.282786343,0.27823579
Naranjilla,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
New Zealand flax,World,2019,NA,NA,NA,NA
New Zealand Spinach,World,2019,0.25753499,0.266539057,0.260799333,0.262798383
Noog,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Nutmeg,World,2019,0.153475224,0.156107787,0.159492713,0.160876039
Oats,World,2019,0.105459579,0.11101154,0.112783677,0.111596935
Oca,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Oil palm,World,2019,0.145777441,0.145748615,0.145938833,0.044361987
Oiticica,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Okra,World,2019,0.2612855,0.270420694,0.264597382,0.266625544
Olives,World,2019,0.09116776,0.089641022,0.089620831,0.06494314
Onions,World,2019,0.21467438,0.219578748,0.219702096,0.218282421
Orache,World,2019,0.25753499,0.266539057,0.260799333,0.262798383
Oranges,World,2019,0.186236151,0.194454524,0.187749374,0.190266706
Papayas,World,2019,0.200236658,0.274752115,0.274074915,0.269664546
Parsley,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Parsnip,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Passionfruit,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Pawpaw,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Peaches and nectarines,World,2019,0.199763286,0.274102583,0.273426984,0.269027041
Pearl millet,World,2019,0.030251535,0.030902044,0.029602955,0.032398934
Pears,World,2019,0.197800962,0.27170343,0.271367827,0.266717279
Peas,World,2019,0.128615763,0.137188716,0.138531048,0.13837264
Pecan,World,2019,0.170110452,0.17497687,0.173017988,0.170603758
Pepper,World,2019,0.114161229,0.12344457,0.157606961,0.151023349
Peppermint,World,2019,NA,NA,NA,NA
