"use","taxon"
"1","Linum usitatissimum convar. mediterraneum (Vavilov ex Elladi) Kulpa & Danert"
"1","Linum usitatissimum convar. mediterraneum (Vavilov ex Elladi) Kulpa & Danert"
"1","Linum usitatissimum subsp. usitatissimum"
"1","Macrolepiota procera (Scop.: Fr.) Sing."
"1","Macrolepiota rachodes (Vitt.) Sing."
"1","Macrotyloma geocarpum (Harms) Maréch. & Baud."
"1","Macrotyloma uniflorum (Lam.) Verdc."
"1","Malus baccata (L.) Borkh."
"1","Malus domestica Borkh."
"1","Malus doumeri (Bois) Chevalier"
"1","Malus mandshurica (Maxim.) Komarov"
"1","Malus orientalis Uglitzk."
"1","Malus sieversii (Ledeb.) Roem."
"1","Malus sylvestris (L.) Mill."
"1","Malus ×asiatica Nakai ex Matsumura"
"1","Malus ×prunifolia (Willd.) Borkh."
"1","Malus ×spectabilis (Aiton) Borkh."
"1","Marattia salicina Sm."
"1","Marsilea quadrifolia L."
"1","Mespilus germanica L."
"1","Mespilus germanica var. apyrena DC. ex Lam. & DC."
"1","Micromeles corymbifera (Miq.) Kalkman"
"1","Monostroma latissimum (L.) Wittrock"
"1","Morchella esculenta (L.) Pers."
"1","Morchella gigas (Batsch: Fr.) Pers."
"1","Morchella hortensis Boud."
"1","Morus nigra L."
"1","Mucuna Pachylobia Group"
"1","Myrica rubra (Lour.) Siebold & Zucc."
"1","Myristica argentea Warb."
"1","Myristica fragrans Houtt."
"1","Myrtillocactus geometrizans (Martius) Console"
"1","Nelumbo nucifera Gaertn."
"1","Nymphaea nouchali Burm.f."
"1","Opuntia amyclaea Tenore"
"1","Opuntia boldinghii Britt. & Rose"
"1","Opuntia bonplandii (H.B.K.) Weber"
"1","Opuntia hyptiacantha Weber"
"1","Opuntia maxima Mill."
"1","Opuntia streptacantha var. streptacantha"
"1","Pachycereus pringlei (S. Wats.) Britt. & Rose"
"1","Padus avium Mill."
"1","Padus napaulensis (Ser. ex DC.) Schneider"
"1","Padus serotina subsp. capuli (Cav. ex Spreng.) Büttner"
"1","Padus ssiori (F. Schmidt) Schneider"
"1","Padus virginiana (L.) Borkh."
"1","Palmaria palmata (L.) Kuntze"
"1","Palmaria Stackhouse"
"1","Papaver somniferum subsp. somniferum"
"1","Parinari curatellifolia Planch. ex Benth."
"1","Parkia biglobosa (Jacq.) Benth."
"1","Parkia filicoidea Welw. ex Oliver"
"1","Parkia javanica (Lam.) Merr."
"1","Peniocereus serpentinus (Lag. & Rodr.) N.P. Taylor"
"1","Pentaclethra macrophylla Benth."
"1","Pereskiopsis aquosa (Weber) Britt. & Rose"
"1","Persica kansuensis (Rehder) Kov. & Kostina"
"1","Persica mira (Koehne) Kov. & Kostina"
"1","Persica vulgaris Mill."
"1","Peumus boldus Mol."
"1","Phallus duplicatus Bosc."
"1","Phallus indusiatus Vent.: Pers."
"1","Pholiota adiposa (Fr.) Kummer"
"1","Pinus cembroides Zucc."
"1","Pinus densiflora Siebold & Zucc."
"1","Pinus koraiensis Siebold & Zucc., , p.p., excl. fig. 1-4"
"1","Pinus pinea L."
"1","Pinus pinea var. fragilis Duhamel"
"1","Pinus sibirica Du Tour"
"1","Piper auritum Kunth"
"1","Piper megalophyllum C. DC."
"1","Pisum sativum subsp. abyssinicum (A. Braun) Berger"
"1","Pisum sativum subsp. asiaticum Govorov"
"1","Pisum sativum subsp. sativum"
"1","Pisum sativum subsp. syriacum Berger"
"1","Pisum sativum subsp. transcaucasicum Govorov"
"1","Pithecellobium unguis-cati (L.) Benth."
"1","Pleurotus citrinopeleatus Sing."
"1","Pleurotus cornucopiae (Paulet) Rolland"
"1","Pleurotus cystidiosus O.K. Mill."
"1","Pleurotus eryngii (DC.: Fr.) Quél."
"1","Pleurotus flabellatus (Berk. & Br.) Sacc."
"1","Pleurotus ostreatus (Jacq.: Fr.) Kummer"
"1","Pleurotus pulmonarius (Fr.) Quél."
"1","Pleurotus sajorcaju (Fr.) Sing."
"1","Pleurotus tuberregium (Fr.) Sing."
"1","Polygonum perfoliatum L."
"1","Polyporus tuberaster (Pers.: Fr.) Fr."
"1","Polyporus umbellatus (Pers.: Fr.) Fr."
"1","Popowia aberrans (Maingay ex Hook.f. & Thoms.) Pierre ex Finet & Gagnep."
"1","Porphyra akasakae Miura"
"1","Porphyra C. Agardh"
"1","Porphyra haitanensis"
"1","Porphyra kuniedae Kurogi"
"1","Porphyra pseudolinearis Ueda"
"1","Porphyra tenera Kjellman"
"1","Porphyra umbilicalis (L.) Kütz"
"1","Porphyra yezoensis Ueda"
"1","Potentilla anserina L."
"1","Potentilla egedii subsp. pacifica (Howell) L.A. Sergienko"
"1","Prinsepia utilis Royle"
"1","Prosopis alba Griseb."
"1","Prosopis chilensis (Mol.) Stuntz"
