Item,Item_cleaned,Metric,Kingdom,Useable,Notes
"Fruit, stone nes","Fruit, stone nes",Production,Plant,N,
"Fruit, stone nes","Fruit, stone nes",Value of production,Plant,N,
"Fruit, tropical fresh nes","Fruit, tropical fresh nes",Production,Plant,N,
"Fruit, tropical fresh nes","Fruit, tropical fresh nes",Trade_crops_livestock,Plant,N,
"Fruit, tropical fresh nes","Fruit, tropical fresh nes",Value of production,Plant,N,
Fruits - Excluding Wine,Fruits - Excluding Wine,Commoditybalances,Plant,N,
Fruits - Excluding Wine,Fruits - Excluding Wine,FoodSupply,Plant,N,
"Fruits, Other","Fruits, Other",Commoditybalances,Plant,N,
"Fruits, Other","Fruits, Other",FoodSupply,Plant,N,
Glucose and dextrose,Glucose and dextrose,Trade_crops_livestock,Plant,N,
"Grain, mixed","Grain, mixed",Production,Plant,N,
"Grain, mixed","Grain, mixed",Trade_crops_livestock,Plant,N,
"Grain, mixed","Grain, mixed",Value of production,Plant,N,
Grand Total,Grand Total,FoodSupply,Plant,N,
"Gums, natural","Gums, natural",Production,Plant,N,
"Gums, natural","Gums, natural",Value of production,Plant,N,
"Hard Fibres, Other","Hard Fibres, Other",Commoditybalances,Plant,N,
Hay (unspecified),Hay (unspecified),Trade_crops_livestock,Plant,N,
Infant food,Infant food,Commoditybalances,Plant,N,
Infant food,Infant food,FoodSupply,Plant,N,
Infant food,Infant food,Trade_crops_livestock,Plant,N,
"Juice, fruit nes","Juice, fruit nes",Trade_crops_livestock,Plant,N,
Malt,Malt,Trade_crops_livestock,Plant,N,
"Margarine, liquid","Margarine, liquid",Trade_crops_livestock,Plant,N,
"Margarine, short","Margarine, short",Trade_crops_livestock,Plant,N,
Miscellaneous,Miscellaneous,Commoditybalances,Plant,N,
Miscellaneous,Miscellaneous,FoodSupply,Plant,N,
Miscellaneous Food,Miscellaneous Food,Trade_crops_livestock,Plant,N,
Mixes and doughs,Mixes and doughs,Trade_crops_livestock,Plant,N,
Molasses,Molasses,Commoditybalances,Plant,N,
Molasses,Molasses,FoodSupply,Plant,N,
Molasses,Molasses,Trade_crops_livestock,Plant,N,
Non Food (PIN),Non Food (PIN),Value of production,Plant,N,
"Oil, boiled etc","Oil, boiled etc",Trade_crops_livestock,Plant,N,
"Oil, essential nes","Oil, essential nes",Trade_crops_livestock,Plant,N,
"Oil, vegetable origin nes","Oil, vegetable origin nes",Trade_crops_livestock,Plant,N,
Oilcrops,Oilcrops,Commoditybalances,Plant,N,
Oilcrops,Oilcrops,FoodSupply,Plant,N,
"Oilcrops Oil, Other","Oilcrops Oil, Other",Commoditybalances,Plant,N,
"Oilcrops Oil, Other","Oilcrops Oil, Other",FoodSupply,Plant,N,
"Oilcrops, Cake Equivalent","Oilcrops, Cake Equivalent",Production,Plant,N,
"Oilcrops, Oil Equivalent","Oilcrops, Oil Equivalent",Production,Plant,N,
"Oilcrops, Oil Equivalent","Oilcrops, Oil Equivalent",Value of production,Plant,N,
"Oilcrops, Other","Oilcrops, Other",Commoditybalances,Plant,N,
"Oilcrops, Other","Oilcrops, Other",FoodSupply,Plant,N,
Oilseed Cake Meal,Oilseed Cake Meal,Trade_crops_livestock,Plant,N,
Oilseed Cake nes,Oilseed Cake nes,Trade_crops_livestock,Plant,N,
"Oilseed Cakes, Other","Oilseed Cakes, Other",Commoditybalances,Plant,N,
Oilseeds,Oilseeds,Trade_crops_livestock,Plant,N,
Oilseeds nes,Oilseeds nes,Production,Plant,N,
Oilseeds nes,Oilseeds nes,Trade_crops_livestock,Plant,N,
Oilseeds nes,Oilseeds nes,Value of production,Plant,N,
Oth Citrus Frt,Citrus,Trade_crops_livestock,Plant,Y,
Pastry,Pastry,Trade_crops_livestock,Plant,N,
Pet food,Pet food,Trade_crops_livestock,Plant,N,
Pulses,Pulses,Commoditybalances,Plant,N,
Pulses,Pulses,FoodSupply,Plant,N,
