Item,Item_cleaned,Metric,Useable
"Margarine, liquid","Margarine, liquid",faostat-crops_lives_products,N
"Margarine, short","Margarine, short",faostat-crops_lives_products,N
Miscellaneous,Miscellaneous,faostat-commodity_balances,N
Miscellaneous,Miscellaneous,faostat-food_supply,N
Miscellaneous Food,Miscellaneous Food,faostat-crops_lives_products,N
Mixes and doughs,Mixes and doughs,faostat-crops_lives_products,N
Molasses,Molasses,faostat-commodity_balances,N
Molasses,Molasses,faostat-food_supply,N
Molasses,Molasses,faostat-crops_lives_products,N
Non Food (PIN),Non Food (PIN),faostat-value_agricultural_production,N
"Nuts, prepared (exc. groundnuts)","Nuts, prepared (exc. groundnuts)",faostat-crops_lives_products,N
"Oil, boiled etc","Oil, boiled etc",faostat-crops_lives_products,N
"Oil, essential nes","Oil, essential nes",faostat-crops_lives_products,N
"Oil, vegetable origin nes","Oil, vegetable origin nes",faostat-crops_lives_products,N
Oilcrops,Oilcrops,faostat-commodity_balances,N
Oilcrops,Oilcrops,faostat-food_supply,N
"Oilcrops Oil, Other","Oilcrops Oil, Other",faostat-commodity_balances,N
"Oilcrops Oil, Other","Oilcrops Oil, Other",faostat-food_supply,N
"Oilcrops, Cake Equivalent","Oilcrops, Cake Equivalent",faostat-crops,N
"Oilcrops, Oil Equivalent","Oilcrops, Oil Equivalent",faostat-crops,N
"Oilcrops, Oil Equivalent","Oilcrops, Oil Equivalent",faostat-value_agricultural_production,N
"Oilcrops, Other","Oilcrops, Other",faostat-commodity_balances,N
Oilseed Cake Meal,Oilseed Cake Meal,faostat-crops_lives_products,N
Oilseed Cake nes,Oilseed Cake nes,faostat-crops_lives_products,N
"Oilseed Cakes, Other","Oilseed Cakes, Other",faostat-commodity_balances,N
Oilseeds,Oilseeds,faostat-crops_lives_products,N
Pastry,Pastry,faostat-crops_lives_products,N
Pet food,Pet food,faostat-crops_lives_products,N
Pulses,Pulses,faostat-commodity_balances,N
Pulses,Pulses,faostat-food_supply,N
